[[0, 0, -68.0], [0, 1, -83.5], [0, 2, -50.1], [0, 3, 61.2], [0, 4, -32.4], [0, 5, -172.8], [1, 0, -36.2], [1, 1, -51.6], [1, 2, -22.2], [1, 3, 24.8], [1, 4, 1.5], [1, 5, -83.7], [2, 0, -21.2], [2, 1, -13.1], [2, 2, 18.6], [2, 3, -10.2], [2, 4, 0.9], [2, 5, -25.0], [3, 0, -7.4], [3, 1, -0.3], [3, 2, -0.8], [3, 3, 2.8], [3, 4, 4.1], [3, 5, -1.5], [4, 0, -1.4], [4, 1, -0.5], [4, 2, -0.8], [4, 3, -0.5], [4, 4, 0.8], [4, 5, -2.5], [5, 0, -3.1], [5, 1, 0.2], [5, 2, -0.6], [5, 3, 0.9], [5, 4, 1.7], [5, 5, -0.8], [6, 0, -1.9], [6, 1, 1.0], [6, 2, 0.3], [6, 3, 0.3], [6, 4, 1.6], [6, 5, 1.4], [7, 0, -3.3], [7, 1, -1.3], [7, 2, -2.1], [7, 3, -1.9], [7, 4, -0.6], [7, 5, -9.2], [8, 0, -11.5], [8, 1, 0.4], [8, 2, -11.3], [8, 3, -3.7], [8, 4, -7.1], [8, 5, -33.4], [9, 0, -0.7], [9, 1, 0.8], [9, 2, -0.7], [9, 3, -1.1], [9, 4, 0.0], [9, 5, -1.7], [10, 0, -1.8], [10, 1, -2.6], [10, 2, -1.9], [10, 3, -0.9], [10, 4, -1.5], [10, 5, -8.8]]
[[0, 0, -14.7], [0, 1, -2.4], [0, 2, 3.5], [0, 3, -0.3], [0, 4, 4.4], [0, 5, -9.4], [1, 0, -2.1], [1, 1, -10.4], [1, 2, 3.0], [1, 3, 1.8], [1, 4, 1.1], [1, 5, -6.5], [2, 0, -0.7], [2, 1, -2.5], [2, 2, -1.2], [2, 3, 1.5], [2, 4, -9.7], [2, 5, -12.7], [3, 0, -1.0], [3, 1, -0.5], [3, 2, -0.0], [3, 3, 1.3], [3, 4, -0.6], [3, 5, -0.8], [4, 0, -0.0], [4, 1, -0.1], [4, 2, -0.1], [4, 3, -0.0], [4, 4, 4.3], [4, 5, 4.1], [5, 0, -1.7], [5, 1, -1.0], [5, 2, -1.6], [5, 3, 0.3], [5, 4, -0.4], [5, 5, -4.3], [6, 0, 0.5], [6, 1, 0.2], [6, 2, 0.0], [6, 3, 0.6], [6, 4, 0.5], [6, 5, 1.7], [7, 0, 0.6], [7, 1, -0.1], [7, 2, -0.8], [7, 3, -2.7], [7, 4, -3.0], [7, 5, -6.0], [8, 0, 7.2], [8, 1, 1.0], [8, 2, -0.3], [8, 3, -2.8], [8, 4, 1.0], [8, 5, 6.2], [9, 0, -0.0], [9, 1, 0.0], [9, 2, -0.0], [9, 3, -0.0], [9, 4, -0.0], [9, 5, -0.0], [10, 0, 0.2], [10, 1, -0.0], [10, 2, -0.0], [10, 3, 0.4], [10, 4, 0.3], [10, 5, 0.9]]
[[0, 0, 166.8], [0, 1, 52.5], [0, 2, 155.4], [0, 3, 46.1], [0, 4, -21.1], [0, 5, 399.7], [1, 0, 16.8], [1, 1, 28.5], [1, 2, 53.6], [1, 3, -20.8], [1, 4, -4.4], [1, 5, 73.8], [2, 0, 10.5], [2, 1, 17.6], [2, 2, 32.9], [2, 3, -74.8], [2, 4, -1.7], [2, 5, -15.4], [3, 0, 26.2], [3, 1, 5.8], [3, 2, 63.5], [3, 3, 10.5], [3, 4, 11.4], [3, 5, 117.3], [4, 0, 0.5], [4, 1, 0.7], [4, 2, 3.9], [4, 3, -2.0], [4, 4, -3.5], [4, 5, -0.4], [5, 0, 1.6], [5, 1, -0.0], [5, 2, 0.8], [5, 3, 0.1], [5, 4, -0.2], [5, 5, 2.2], [6, 0, 4.6], [6, 1, 0.5], [6, 2, 16.4], [6, 3, 1.1], [6, 4, -1.0], [6, 5, 21.6], [7, 0, -1.7], [7, 1, 0.8], [7, 2, 8.4], [7, 3, 3.6], [7, 4, 0.3], [7, 5, 11.4], [8, 0, -18.9], [8, 1, 2.1], [8, 2, -0.1], [8, 3, -5.7], [8, 4, 4.7], [8, 5, -17.9], [9, 0, 2.0], [9, 1, 0.4], [9, 2, 2.3], [9, 3, 3.7], [9, 4, 1.3], [9, 5, 9.7], [10, 0, 0.9], [10, 1, -0.5], [10, 2, 2.2], [10, 3, -1.1], [10, 4, -1.3], [10, 5, 0.3]]
[[0, 0, -2.4], [0, 1, 3.5], [0, 2, -0.3], [0, 3, 8.2], [0, 4, 10.4], [0, 5, 19.5], [1, 0, -10.4], [1, 1, 3.0], [1, 2, 1.8], [1, 3, 1.1], [1, 4, 4.1], [1, 5, -0.4], [2, 0, -2.5], [2, 1, -1.2], [2, 2, 1.5], [2, 3, -9.7], [2, 4, -22.3], [2, 5, -34.3], [3, 0, -0.5], [3, 1, -0.0], [3, 2, 1.3], [3, 3, -0.6], [3, 4, -0.6], [3, 5, -0.4], [4, 0, -0.1], [4, 1, -0.1], [4, 2, -0.0], [4, 3, 4.3], [4, 4, 6.2], [4, 5, 10.3], [5, 0, -1.0], [5, 1, -1.6], [5, 2, 0.3], [5, 3, -0.4], [5, 4, 2.2], [5, 5, -0.4], [6, 0, 0.2], [6, 1, 0.0], [6, 2, 0.6], [6, 3, 0.5], [6, 4, 1.7], [6, 5, 2.9], [7, 0, -0.1], [7, 1, -0.8], [7, 2, -2.7], [7, 3, -3.0], [7, 4, -4.5], [7, 5, -11.1], [8, 0, 1.0], [8, 1, -0.3], [8, 2, -2.8], [8, 3, 1.0], [8, 4, 0.7], [8, 5, -0.4], [9, 0, 0.0], [9, 1, -0.0], [9, 2, -0.0], [9, 3, -0.0], [9, 4, 0.0], [9, 5, 0.0], [10, 0, -0.0], [10, 1, -0.0], [10, 2, 0.4], [10, 3, 0.3], [10, 4, 1.8], [10, 5, 2.5]]
[[0, 0, 52.5], [0, 1, 155.4], [0, 2, 46.1], [0, 3, -21.1], [0, 4, 13.2], [0, 5, 246.1], [1, 0, 28.5], [1, 1, 53.6], [1, 2, -20.8], [1, 3, -4.4], [1, 4, -17.8], [1, 5, 39.2], [2, 0, 17.6], [2, 1, 32.9], [2, 2, -74.8], [2, 3, -1.7], [2, 4, 10.4], [2, 5, -15.5], [3, 0, 5.8], [3, 1, 63.5], [3, 2, 10.5], [3, 3, 11.4], [3, 4, 14.1], [3, 5, 105.2], [4, 0, 0.7], [4, 1, 3.9], [4, 2, -2.0], [4, 3, -3.5], [4, 4, -3.4], [4, 5, -4.3], [5, 0, -0.0], [5, 1, 0.8], [5, 2, 0.1], [5, 3, -0.2], [5, 4, -2.2], [5, 5, -1.6], [6, 0, 0.5], [6, 1, 16.4], [6, 2, 1.1], [6, 3, -1.0], [6, 4, 2.4], [6, 5, 19.4], [7, 0, 0.8], [7, 1, 8.4], [7, 2, 3.6], [7, 3, 0.3], [7, 4, 9.9], [7, 5, 23.0], [8, 0, 2.1], [8, 1, -0.1], [8, 2, -5.7], [8, 3, 4.7], [8, 4, -8.8], [8, 5, -7.8], [9, 0, 0.4], [9, 1, 2.3], [9, 2, 3.7], [9, 3, 1.3], [9, 4, 0.9], [9, 5, 8.6], [10, 0, -0.5], [10, 1, 2.2], [10, 2, -1.1], [10, 3, -1.3], [10, 4, -0.8], [10, 5, -1.4]]
[[0, 0, 3.5], [0, 1, -0.3], [0, 2, 8.2], [0, 3, 10.3], [0, 4, 14.8], [0, 5, 36.6], [1, 0, 3.0], [1, 1, 1.8], [1, 2, 1.1], [1, 3, 4.1], [1, 4, 2.7], [1, 5, 12.8], [2, 0, -1.2], [2, 1, 1.5], [2, 2, -9.7], [2, 3, -22.5], [2, 4, -15.0], [2, 5, -46.9], [3, 0, -0.0], [3, 1, 1.3], [3, 2, -0.6], [3, 3, -0.6], [3, 4, -2.6], [3, 5, -2.5], [4, 0, -0.1], [4, 1, -0.0], [4, 2, 4.3], [4, 3, 6.2], [4, 4, 5.4], [4, 5, 15.8], [5, 0, -1.6], [5, 1, 0.3], [5, 2, -0.4], [5, 3, 2.2], [5, 4, 1.7], [5, 5, 2.3], [6, 0, 0.0], [6, 1, 0.6], [6, 2, 0.5], [6, 3, 1.7], [6, 4, 1.3], [6, 5, 4.0], [7, 0, -0.8], [7, 1, -2.7], [7, 2, -3.0], [7, 3, -4.5], [7, 4, -4.6], [7, 5, -15.6], [8, 0, -0.3], [8, 1, -2.8], [8, 2, 1.0], [8, 3, 0.9], [8, 4, -0.8], [8, 5, -1.9], [9, 0, -0.0], [9, 1, -0.0], [9, 2, -0.0], [9, 3, 0.0], [9, 4, 0.0], [9, 5, -0.0], [10, 0, -0.0], [10, 1, 0.4], [10, 2, 0.3], [10, 3, 1.8], [10, 4, 1.5], [10, 5, 4.0]]
[[0, 0, 155.4], [0, 1, 46.1], [0, 2, -21.1], [0, 3, 13.2], [0, 4, -0.8], [0, 5, 192.8], [1, 0, 53.6], [1, 1, -20.8], [1, 2, -4.4], [1, 3, -17.8], [1, 4, -5.3], [1, 5, 5.3], [2, 0, 32.9], [2, 1, -74.8], [2, 2, -1.7], [2, 3, 10.4], [2, 4, -30.5], [2, 5, -63.7], [3, 0, 63.5], [3, 1, 10.5], [3, 2, 11.4], [3, 3, 14.1], [3, 4, 5.0], [3, 5, 104.4], [4, 0, 3.9], [4, 1, -2.0], [4, 2, -3.5], [4, 3, -3.4], [4, 4, -2.9], [4, 5, -7.9], [5, 0, 0.8], [5, 1, 0.1], [5, 2, -0.2], [5, 3, -2.2], [5, 4, -1.2], [5, 5, -2.8], [6, 0, 16.4], [6, 1, 1.1], [6, 2, -1.0], [6, 3, 2.4], [6, 4, -0.3], [6, 5, 18.6], [7, 0, 8.4], [7, 1, 3.6], [7, 2, 0.3], [7, 3, 9.9], [7, 4, 5.3], [7, 5, 27.6], [8, 0, -0.1], [8, 1, -5.7], [8, 2, 4.7], [8, 3, -8.8], [8, 4, 0.5], [8, 5, -9.4], [9, 0, 2.3], [9, 1, 3.7], [9, 2, 1.3], [9, 3, 0.9], [9, 4, 1.6], [9, 5, 9.8], [10, 0, 2.2], [10, 1, -1.1], [10, 2, -1.3], [10, 3, -0.8], [10, 4, -0.5], [10, 5, -1.4]]
[[0, 0, -0.3], [0, 1, 8.2], [0, 2, 10.3], [0, 3, 14.8], [0, 4, 9.1], [0, 5, 42.2], [1, 0, 1.8], [1, 1, 1.1], [1, 2, 4.1], [1, 3, 2.7], [1, 4, -7.0], [1, 5, 2.7], [2, 0, 1.5], [2, 1, -9.7], [2, 2, -22.5], [2, 3, -15.0], [2, 4, -25.2], [2, 5, -70.9], [3, 0, 1.3], [3, 1, -0.6], [3, 2, -0.6], [3, 3, -2.6], [3, 4, -2.5], [3, 5, -5.0], [4, 0, -0.0], [4, 1, 4.3], [4, 2, 6.2], [4, 3, 5.4], [4, 4, 5.3], [4, 5, 21.2], [5, 0, 0.3], [5, 1, -0.4], [5, 2, 2.2], [5, 3, 1.7], [5, 4, 3.4], [5, 5, 7.3], [6, 0, 0.6], [6, 1, 0.5], [6, 2, 1.7], [6, 3, 1.3], [6, 4, 1.2], [6, 5, 5.2], [7, 0, -2.7], [7, 1, -3.0], [7, 2, -4.5], [7, 3, -4.6], [7, 4, -4.1], [7, 5, -18.8], [8, 0, -2.8], [8, 1, 1.0], [8, 2, 0.9], [8, 3, -0.8], [8, 4, 1.2], [8, 5, -0.4], [9, 0, -0.0], [9, 1, -0.0], [9, 2, 0.0], [9, 3, 0.0], [9, 4, -0.0], [9, 5, -0.0], [10, 0, 0.4], [10, 1, 0.3], [10, 2, 1.8], [10, 3, 1.5], [10, 4, 1.7], [10, 5, 5.7]]
[[0, 0, -21.1], [0, 1, 13.2], [0, 2, -0.8], [0, 3, 117.2], [0, 4, 74.7], [0, 5, 183.2], [1, 0, -4.4], [1, 1, -17.8], [1, 2, -5.3], [1, 3, 36.2], [1, 4, 37.6], [1, 5, 46.2], [2, 0, -1.7], [2, 1, 10.4], [2, 2, -30.5], [2, 3, 6.4], [2, 4, 19.6], [2, 5, 4.2], [3, 0, 11.4], [3, 1, 14.1], [3, 2, 5.0], [3, 3, 33.3], [3, 4, 2.9], [3, 5, 66.7], [4, 0, -3.5], [4, 1, -3.4], [4, 2, -2.9], [4, 3, -3.1], [4, 4, -2.8], [4, 5, -15.8], [5, 0, -0.2], [5, 1, -2.2], [5, 2, -1.2], [5, 3, 1.8], [5, 4, -1.2], [5, 5, -3.1], [6, 0, -1.0], [6, 1, 2.4], [6, 2, -0.3], [6, 3, 8.0], [6, 4, 1.0], [6, 5, 10.1], [7, 0, 0.3], [7, 1, 9.9], [7, 2, 5.3], [7, 3, 6.1], [7, 4, 5.2], [7, 5, 26.8], [8, 0, 4.7], [8, 1, -8.8], [8, 2, 0.5], [8, 3, 6.7], [8, 4, -13.0], [8, 5, -9.9], [9, 0, 1.3], [9, 1, 0.9], [9, 2, 1.6], [9, 3, 2.4], [9, 4, -2.5], [9, 5, 3.7], [10, 0, -1.3], [10, 1, -0.8], [10, 2, -0.5], [10, 3, -7.0], [10, 4, -3.3], [10, 5, -12.8]]
[[0, 0, 10.3], [0, 1, 14.8], [0, 2, 9.0], [0, 3, 16.7], [0, 4, 24.3], [0, 5, 75.1], [1, 0, 4.1], [1, 1, 2.7], [1, 2, -7.0], [1, 3, -1.5], [1, 4, 11.8], [1, 5, 10.0], [2, 0, -22.5], [2, 1, -15.0], [2, 2, -25.2], [2, 3, -19.9], [2, 4, -17.2], [2, 5, -99.7], [3, 0, -0.6], [3, 1, -2.6], [3, 2, -2.5], [3, 3, -3.2], [3, 4, -2.7], [3, 5, -11.6], [4, 0, 6.2], [4, 1, 5.4], [4, 2, 5.3], [4, 3, 5.3], [4, 4, 5.9], [4, 5, 28.2], [5, 0, 2.2], [5, 1, 1.7], [5, 2, 3.4], [5, 3, 1.2], [5, 4, -0.3], [5, 5, 8.2], [6, 0, 1.7], [6, 1, 1.3], [6, 2, 1.2], [6, 3, 1.9], [6, 4, 1.5], [6, 5, 7.5], [7, 0, -4.5], [7, 1, -4.6], [7, 2, -4.0], [7, 3, -4.7], [7, 4, -5.0], [7, 5, -22.9], [8, 0, 0.9], [8, 1, -0.8], [8, 2, 1.2], [8, 3, 0.2], [8, 4, -1.5], [8, 5, 0.0], [9, 0, 0.0], [9, 1, 0.0], [9, 2, -0.0], [9, 3, 0.0], [9, 4, 0.0], [9, 5, 0.0], [10, 0, 1.8], [10, 1, 1.5], [10, 2, 1.7], [10, 3, 1.7], [10, 4, 1.8], [10, 5, 8.5]]
[[0, 0, -21.1], [0, 1, 13.2], [0, 2, -0.8], [0, 3, 117.2], [0, 4, 74.7], [0, 5, 183.2], [1, 0, -4.4], [1, 1, -17.8], [1, 2, -5.3], [1, 3, 36.2], [1, 4, 37.6], [1, 5, 46.2], [2, 0, -1.7], [2, 1, 10.4], [2, 2, -30.5], [2, 3, 6.4], [2, 4, 19.6], [2, 5, 4.2], [3, 0, 11.4], [3, 1, 14.1], [3, 2, 5.0], [3, 3, 33.3], [3, 4, 2.9], [3, 5, 66.7], [4, 0, -3.5], [4, 1, -3.4], [4, 2, -2.9], [4, 3, -3.1], [4, 4, -2.8], [4, 5, -15.8], [5, 0, -0.2], [5, 1, -2.2], [5, 2, -1.2], [5, 3, 1.8], [5, 4, -1.2], [5, 5, -3.1], [6, 0, -1.0], [6, 1, 2.4], [6, 2, -0.3], [6, 3, 8.0], [6, 4, 1.0], [6, 5, 10.1], [7, 0, 0.3], [7, 1, 9.9], [7, 2, 5.3], [7, 3, 6.1], [7, 4, 5.2], [7, 5, 26.8], [8, 0, 4.7], [8, 1, -8.8], [8, 2, 0.5], [8, 3, 6.7], [8, 4, -13.0], [8, 5, -9.9], [9, 0, 1.3], [9, 1, 0.9], [9, 2, 1.6], [9, 3, 2.4], [9, 4, -2.5], [9, 5, 3.7], [10, 0, -1.3], [10, 1, -0.8], [10, 2, -0.5], [10, 3, -7.0], [10, 4, -3.3], [10, 5, -12.8]]
[[0, 0, 10.3], [0, 1, 14.8], [0, 2, 9.0], [0, 3, 16.7], [0, 4, 24.3], [0, 5, 75.1], [1, 0, 4.1], [1, 1, 2.7], [1, 2, -7.0], [1, 3, -1.5], [1, 4, 11.8], [1, 5, 10.0], [2, 0, -22.5], [2, 1, -15.0], [2, 2, -25.2], [2, 3, -19.9], [2, 4, -17.2], [2, 5, -99.7], [3, 0, -0.6], [3, 1, -2.6], [3, 2, -2.5], [3, 3, -3.2], [3, 4, -2.7], [3, 5, -11.6], [4, 0, 6.2], [4, 1, 5.4], [4, 2, 5.3], [4, 3, 5.3], [4, 4, 5.9], [4, 5, 28.2], [5, 0, 2.2], [5, 1, 1.7], [5, 2, 3.4], [5, 3, 1.2], [5, 4, -0.3], [5, 5, 8.2], [6, 0, 1.7], [6, 1, 1.3], [6, 2, 1.2], [6, 3, 1.9], [6, 4, 1.5], [6, 5, 7.5], [7, 0, -4.5], [7, 1, -4.6], [7, 2, -4.0], [7, 3, -4.7], [7, 4, -5.0], [7, 5, -22.9], [8, 0, 0.9], [8, 1, -0.8], [8, 2, 1.2], [8, 3, 0.2], [8, 4, -1.5], [8, 5, 0.0], [9, 0, 0.0], [9, 1, 0.0], [9, 2, -0.0], [9, 3, 0.0], [9, 4, 0.0], [9, 5, 0.0], [10, 0, 1.8], [10, 1, 1.5], [10, 2, 1.7], [10, 3, 1.7], [10, 4, 1.8], [10, 5, 8.5]]
[[0, 0, -0.8], [0, 1, 117.2], [0, 2, 75.0], [0, 3, 37.8], [0, 4, 31.1], [0, 5, 260.3], [1, 0, -5.3], [1, 1, 36.2], [1, 2, 37.6], [1, 3, -19.4], [1, 4, -28.3], [1, 5, 20.7], [2, 0, -30.5], [2, 1, 6.4], [2, 2, 19.6], [2, 3, 0.6], [2, 4, -12.1], [2, 5, -16.0], [3, 0, 5.0], [3, 1, 33.3], [3, 2, 2.9], [3, 3, 32.6], [3, 4, -17.8], [3, 5, 56.0], [4, 0, -2.9], [4, 1, -3.1], [4, 2, -2.8], [4, 3, -7.8], [4, 4, -1.1], [4, 5, -17.8], [5, 0, -1.2], [5, 1, 1.8], [5, 2, -1.2], [5, 3, -1.2], [5, 4, 0.0], [5, 5, -1.9], [6, 0, -0.3], [6, 1, 8.0], [6, 2, 1.0], [6, 3, 0.1], [6, 4, -1.6], [6, 5, 7.1], [7, 0, 5.3], [7, 1, 6.1], [7, 2, 5.2], [7, 3, 12.2], [7, 4, -0.9], [7, 5, 27.8], [8, 0, 0.5], [8, 1, 6.7], [8, 2, -13.0], [8, 3, -6.5], [8, 4, 33.2], [8, 5, 20.8], [9, 0, 1.6], [9, 1, 2.4], [9, 2, -2.5], [9, 3, 1.1], [9, 4, 1.0], [9, 5, 3.6], [10, 0, -0.5], [10, 1, -7.0], [10, 2, -3.3], [10, 3, -0.1], [10, 4, -8.5], [10, 5, -19.4]]
[[0, 0, 9.0], [0, 1, 16.7], [0, 2, 23.1], [0, 3, 27.1], [0, 4, 24.6], [0, 5, 100.6], [1, 0, -7.0], [1, 1, -1.5], [1, 2, 11.3], [1, 3, 5.3], [1, 4, 3.9], [1, 5, 11.9], [2, 0, -25.2], [2, 1, -19.9], [2, 2, -18.2], [2, 3, -33.7], [2, 4, -21.1], [2, 5, -118.1], [3, 0, -2.5], [3, 1, -3.2], [3, 2, -2.7], [3, 3, -9.5], [3, 4, -1.9], [3, 5, -19.9], [4, 0, 5.3], [4, 1, 5.3], [4, 2, 5.9], [4, 3, 10.5], [4, 4, 7.1], [4, 5, 34.2], [5, 0, 3.4], [5, 1, 1.2], [5, 2, -0.3], [5, 3, 0.4], [5, 4, 0.4], [5, 5, 5.1], [6, 0, 1.2], [6, 1, 1.9], [6, 2, 1.5], [6, 3, 2.7], [6, 4, 1.6], [6, 5, 8.8], [7, 0, -4.0], [7, 1, -4.7], [7, 2, -5.0], [7, 3, -12.6], [7, 4, -4.8], [7, 5, -31.1], [8, 0, 1.2], [8, 1, 0.2], [8, 2, -1.5], [8, 3, 0.0], [8, 4, 3.6], [8, 5, 3.5], [9, 0, -0.0], [9, 1, 0.0], [9, 2, 0.0], [9, 3, 0.1], [9, 4, 0.1], [9, 5, 0.2], [10, 0, 1.7], [10, 1, 1.7], [10, 2, 1.8], [10, 3, 3.0], [10, 4, 2.0], [10, 5, 10.2]]
[[0, 0, -0.8], [0, 1, 117.2], [0, 2, 75.0], [0, 3, 37.8], [0, 4, 31.1], [0, 5, 260.3], [1, 0, -5.3], [1, 1, 36.2], [1, 2, 37.6], [1, 3, -19.4], [1, 4, -28.3], [1, 5, 20.7], [2, 0, -30.5], [2, 1, 6.4], [2, 2, 19.6], [2, 3, 0.6], [2, 4, -12.1], [2, 5, -16.0], [3, 0, 5.0], [3, 1, 33.3], [3, 2, 2.9], [3, 3, 32.6], [3, 4, -17.8], [3, 5, 56.0], [4, 0, -2.9], [4, 1, -3.1], [4, 2, -2.8], [4, 3, -7.8], [4, 4, -1.1], [4, 5, -17.8], [5, 0, -1.2], [5, 1, 1.8], [5, 2, -1.2], [5, 3, -1.2], [5, 4, 0.0], [5, 5, -1.9], [6, 0, -0.3], [6, 1, 8.0], [6, 2, 1.0], [6, 3, 0.1], [6, 4, -1.6], [6, 5, 7.1], [7, 0, 5.3], [7, 1, 6.1], [7, 2, 5.2], [7, 3, 12.2], [7, 4, -0.9], [7, 5, 27.8], [8, 0, 0.5], [8, 1, 6.7], [8, 2, -13.0], [8, 3, -6.5], [8, 4, 33.2], [8, 5, 20.8], [9, 0, 1.6], [9, 1, 2.4], [9, 2, -2.5], [9, 3, 1.1], [9, 4, 1.0], [9, 5, 3.6], [10, 0, -0.5], [10, 1, -7.0], [10, 2, -3.3], [10, 3, -0.1], [10, 4, -8.5], [10, 5, -19.4]]
[[0, 0, 9.0], [0, 1, 16.7], [0, 2, 23.1], [0, 3, 27.1], [0, 4, 24.6], [0, 5, 100.6], [1, 0, -7.0], [1, 1, -1.5], [1, 2, 11.3], [1, 3, 5.3], [1, 4, 3.9], [1, 5, 11.9], [2, 0, -25.2], [2, 1, -19.9], [2, 2, -18.2], [2, 3, -33.7], [2, 4, -21.1], [2, 5, -118.1], [3, 0, -2.5], [3, 1, -3.2], [3, 2, -2.7], [3, 3, -9.5], [3, 4, -1.9], [3, 5, -19.9], [4, 0, 5.3], [4, 1, 5.3], [4, 2, 5.9], [4, 3, 10.5], [4, 4, 7.1], [4, 5, 34.2], [5, 0, 3.4], [5, 1, 1.2], [5, 2, -0.3], [5, 3, 0.4], [5, 4, 0.4], [5, 5, 5.1], [6, 0, 1.2], [6, 1, 1.9], [6, 2, 1.5], [6, 3, 2.7], [6, 4, 1.6], [6, 5, 8.8], [7, 0, -4.0], [7, 1, -4.7], [7, 2, -5.0], [7, 3, -12.6], [7, 4, -4.8], [7, 5, -31.1], [8, 0, 1.2], [8, 1, 0.2], [8, 2, -1.5], [8, 3, 0.0], [8, 4, 3.6], [8, 5, 3.5], [9, 0, -0.0], [9, 1, 0.0], [9, 2, 0.0], [9, 3, 0.1], [9, 4, 0.1], [9, 5, 0.2], [10, 0, 1.7], [10, 1, 1.7], [10, 2, 1.8], [10, 3, 3.0], [10, 4, 2.0], [10, 5, 10.2]]
[[0, 0, 75.0], [0, 1, 37.8], [0, 2, 31.1], [0, 3, -38.1], [0, 4, -42.9], [0, 5, 62.9], [1, 0, 37.6], [1, 1, -19.4], [1, 2, -28.3], [1, 3, -49.9], [1, 4, -18.4], [1, 5, -78.5], [2, 0, 19.6], [2, 1, 0.6], [2, 2, -12.1], [2, 3, 2.8], [2, 4, -9.0], [2, 5, 1.9], [3, 0, 2.9], [3, 1, 32.6], [3, 2, -17.8], [3, 3, 8.8], [3, 4, -1.7], [3, 5, 24.8], [4, 0, -2.8], [4, 1, -7.8], [4, 2, -1.1], [4, 3, -2.3], [4, 4, -0.7], [4, 5, -14.8], [5, 0, -1.2], [5, 1, -1.2], [5, 2, 0.0], [5, 3, 0.4], [5, 4, 0.1], [5, 5, -2.0], [6, 0, 1.0], [6, 1, 0.1], [6, 2, -1.6], [6, 3, 2.3], [6, 4, 2.6], [6, 5, 4.4], [7, 0, 5.2], [7, 1, 12.2], [7, 2, -0.9], [7, 3, 8.0], [7, 4, 6.8], [7, 5, 31.2], [8, 0, -13.0], [8, 1, -6.5], [8, 2, 33.2], [8, 3, 21.9], [8, 4, -9.8], [8, 5, 25.7], [9, 0, -2.5], [9, 1, 1.1], [9, 2, 1.0], [9, 3, 1.7], [9, 4, 0.8], [9, 5, 2.0], [10, 0, -3.3], [10, 1, -0.1], [10, 2, -8.5], [10, 3, -5.4], [10, 4, 0.3], [10, 5, -17.0]]
[[0, 0, 23.1], [0, 1, 27.1], [0, 2, 24.6], [0, 3, 17.6], [0, 4, -7.4], [0, 5, 85.1], [1, 0, 11.3], [1, 1, 5.3], [1, 2, 3.9], [1, 3, -14.4], [1, 4, -6.4], [1, 5, -0.3], [2, 0, -18.2], [2, 1, -33.7], [2, 2, -21.1], [2, 3, -15.4], [2, 4, -4.9], [2, 5, -93.3], [3, 0, -2.7], [3, 1, -9.5], [3, 2, -1.9], [3, 3, -1.5], [3, 4, -0.5], [3, 5, -16.1], [4, 0, 5.9], [4, 1, 10.5], [4, 2, 7.1], [4, 3, 6.3], [4, 4, 3.0], [4, 5, 32.9], [5, 0, -0.3], [5, 1, 0.4], [5, 2, 0.4], [5, 3, 0.7], [5, 4, -0.6], [5, 5, 0.5], [6, 0, 1.5], [6, 1, 2.7], [6, 2, 1.6], [6, 3, 1.4], [6, 4, 0.6], [6, 5, 7.7], [7, 0, -5.0], [7, 1, -12.6], [7, 2, -4.8], [7, 3, -4.5], [7, 4, -0.6], [7, 5, -27.4], [8, 0, -1.5], [8, 1, 0.0], [8, 2, 3.6], [8, 3, 4.7], [8, 4, 6.4], [8, 5, 13.2], [9, 0, 0.0], [9, 1, 0.1], [9, 2, 0.1], [9, 3, 0.0], [9, 4, 0.0], [9, 5, 0.2], [10, 0, 1.8], [10, 1, 3.0], [10, 2, 2.0], [10, 3, 2.0], [10, 4, 1.1], [10, 5, 10.0]]
[[0, 0, 37.8], [0, 1, 31.1], [0, 2, -38.1], [0, 3, -42.9], [0, 4, -21.0], [0, 5, -33.0], [1, 0, -19.4], [1, 1, -28.3], [1, 2, -49.9], [1, 3, -18.4], [1, 4, -13.4], [1, 5, -129.4], [2, 0, 0.6], [2, 1, -12.1], [2, 2, 2.8], [2, 3, -9.0], [2, 4, 16.1], [2, 5, -1.6], [3, 0, 32.6], [3, 1, -17.8], [3, 2, 8.8], [3, 3, -1.7], [3, 4, 11.0], [3, 5, 32.9], [4, 0, -7.8], [4, 1, -1.1], [4, 2, -2.3], [4, 3, -0.7], [4, 4, 0.2], [4, 5, -11.8], [5, 0, -1.2], [5, 1, 0.0], [5, 2, 0.4], [5, 3, 0.1], [5, 4, -1.0], [5, 5, -1.7], [6, 0, 0.1], [6, 1, -1.6], [6, 2, 2.3], [6, 3, 2.6], [6, 4, -0.2], [6, 5, 3.1], [7, 0, 12.2], [7, 1, -0.9], [7, 2, 8.0], [7, 3, 6.8], [7, 4, 1.6], [7, 5, 27.6], [8, 0, -6.5], [8, 1, 33.2], [8, 2, 21.9], [8, 3, -9.8], [8, 4, 10.9], [8, 5, 49.7], [9, 0, 1.1], [9, 1, 1.0], [9, 2, 1.7], [9, 3, 0.8], [9, 4, -0.4], [9, 5, 4.2], [10, 0, -0.1], [10, 1, -8.5], [10, 2, -5.4], [10, 3, 0.3], [10, 4, -1.5], [10, 5, -15.2]]
